code,title,price
FAKE-001,شیر ظرفشویی شوان راین,213000000
FAKE-002,شیر شوان شاوری دو منظوره مدل هادسون,195500000
FAKE-003,شیر شوان دیگ پرکن تای,125000000
FAKE-004,شیر شوان دیگ پرکن کرایسلر,176000000
FAKE-005,شیر ظرفشویی شوان شاوری دو منظوره ولگا,257000000
FAKE-006,شیر شوان ظرفشویی شاوری دانوب,163500000
FAKE-007,شیر شاوری شوان مدل کرایسر,3333
FAKE-008,شیر ظرفشویی شوان مدل  فارو,278000000
FAKE-009,شیر ظرفشویی شوان مدل  کرایسلر,224000000
FAKE-010,شیر ظرفشویی شوان مدل  لوسید,221500000
FAKE-011,شیر ظرفشویی شوان مدل هیدرا,88888888
FAKE-012,شیر ظرفشویی شوان مدل  تای,184000000
